# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
cacheStateStorage.get.duration,1789639278082000000,1789639338224000000,0
cacheStateStorage.set.counter,1789639278082000000,1789639338224000000,2
cacheStateStorage.get.counter,1789639278082000000,1789639338224000000,2
cacheStateStorage.set.duration,1789639278082000000,1789639338224000000,8
workspaceModel.cachedValue.calculated.count,1789639278082000000,1789639338224000000,1
workspaceModel.full.replace.project.model.ms,1789639278082000000,1789639338224000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1789639278082000000,1789639338224000000,0
workspaceModel.cachedValue.clear.count,1789639278082000000,1789639338224000000,0
workspaceModel.collect.changes.ms,1789639278082000000,1789639338224000000,0
workspaceModel.pre.handlers.ms,1789639278082000000,1789639338224000000,0
workspaceModel.updates.count,1789639278082000000,1789639338224000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1789639278082000000,1789639338224000000,0
workspaceModel.cachedValue.total.get.count,1789639278082000000,1789639338224000000,1
workspaceModel.initializing.ms,1789639278082000000,1789639338224000000,0
workspaceModel.check.recursive.update.ms,1789639278082000000,1789639338224000000,0
workspaceModel.on.changed.ms,1789639278082000000,1789639338224000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1789639278082000000,1789639338224000000,0
workspaceModel.cachedValueWithParameters.clear.count,1789639278082000000,1789639338224000000,0
workspaceModel.updates.ms,1789639278082000000,1789639338224000000,0
workspaceModel.loading.total.ms,1789639278082000000,1789639338224000000,22
workspaceModel.replace.project.model.ms,1789639278082000000,1789639338224000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1789639278082000000,1789639338224000000,2
workspaceModel.update.unloaded.entities.ms,1789639278082000000,1789639338224000000,0
workspaceModel.to.snapshot.ms,1789639278082000000,1789639338224000000,0
workspaceModel.updates.precise.ms,1789639278082000000,1789639338224000000,0
workspaceModel.cachedValue.from.cache.count,1789639278082000000,1789639338224000000,0
workspaceModel.init.bridges.ms,1789639278082000000,1789639338224000000,0
workspaceModel.on.before.changed.ms,1789639278082000000,1789639338224000000,0
workspaceModel.loading.from.cache.ms,1789639278082000000,1789639338224000000,16
workspaceModel.moduleManagerBridge.get.modules.ms,1789639278082000000,1789639338224000000,1
workspaceModel.global.apply.state.to.project.ms,1789639278082000000,1789639338224000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1789639278082000000,1789639338224000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1789639278082000000,1789639338224000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1789639278082000000,1789639338224000000,0
workspaceModel.sync.entities.ms,1789639278082000000,1789639338224000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1789639278082000000,1789639338224000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1789639278082000000,1789639338224000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1789639278082000000,1789639338224000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1789639278082000000,1789639338224000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1789639278082000000,1789639338224000000,0
jps.save.global.entities.ms,1789639278082000000,1789639338224000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1789639278082000000,1789639338224000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1789639278082000000,1789639338224000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1789639278082000000,1789639338224000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1789639278082000000,1789639338224000000,0
jps.load.initial.state.ms,1789639278082000000,1789639338224000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1789639278082000000,1789639338224000000,0
workspaceModel.mutableEntityStorage.instances.count,1789639278082000000,1789639338224000000,1
workspaceModel.global.apply.state.to.project.builder.ms,1789639278082000000,1789639338224000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1789639278082000000,1789639338224000000,0
workspaceModel.global.updates.count,1789639278082000000,1789639338224000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1789639278082000000,1789639338224000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1789639278082000000,1789639338224000000,0
workspaceModel.do.save.caches.ms,1789639278082000000,1789639338224000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1789639278082000000,1789639338224000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1789639278082000000,1789639338224000000,0
workspaceModel.save.cache.to.file.ms,1789639278082000000,1789639338224000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1789639278082000000,1789639338224000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1789639278082000000,1789639338224000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1789639278082000000,1789639338224000000,0
workspaceModel.load.cache.from.file.ms,1789639278082000000,1789639338224000000,0
workspaceModel.load.cache.metadata.from.file.ms,1789639278082000000,1789639338224000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1789639278082000000,1789639338224000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1789639278082000000,1789639338224000000,0
workspaceModel.mutableEntityStorage.entities.ms,1789639278082000000,1789639338224000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1789639278082000000,1789639338224000000,0
workspaceModel.global.updates.ms,1789639278082000000,1789639338224000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1789639278082000000,1789639338224000000,0
workspaceModel.mutableEntityStorage.hasReferrers.ms,1789639278082000000,1789639338224000000,0
Indexing.cache.totalCacheEvicted,1789639278082000000,1789639338224000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1789639278082000000,1789639338224000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1789639278082000000,1789639338224000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1789639278082000000,1789639338224000000,0
Indexing.writesQueuedMin,1789639278082000000,1789639338224000000,9223372036854775807
Indexing.cache.totalCacheAccesses,1789639278082000000,1789639338224000000,0
Indexing.totalTimeIndexersSleptMs,1789639278082000000,1789639338224000000,0
Indexing.writesQueuedMax,1789639278082000000,1789639338224000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1789639278082000000,1789639338224000000,0
Indexing.cache.totalCacheMisses,1789639278082000000,1789639338224000000,0
writeAction.count,1789639278082000000,1789639338224000000,1
DiskQueryRelay.tasksExecuted,1789639278082000000,1789639338224000000,41
writeAction.max.wait.ms,1789639278082000000,1789639338224000000,1
writeAction.wait.ms,1789639278082000000,1789639338224000000,1
DiskQueryRelay.taskExecutionTotalTimeUs,1789639278082000000,1789639338224000000,16420
writeAction.median.wait.ms,1789639278082000000,1789639338224000000,0
DiskQueryRelay.taskWaitingTotalTimeUs,1789639278082000000,1789639338224000000,19113
DiskQueryRelay.tasksRequested,1789639278082000000,1789639338224000000,41
VFS.cache.segments,1789639278082000000,1789639338224000000,1.0
VFS.contentStorage.recordsStoredSize,1789639278082000000,1789639338224000000,0
VFS.cache.segmentsCreated,1789639278082000000,1789639338224000000,1
VFS.invertedFileNameIndex.requests,1789639278082000000,1789639338224000000,0
VFS.contentStorage.recordsUncompressedSize,1789639278082000000,1789639338224000000,0
VFS.fileChildByName,1789639278082000000,1789639338224000000,16
VFS.contentStorage.recordsReadDecompressed,1789639278082000000,1789639338224000000,0
VFS.fileByIdCache.hits,1789639278082000000,1789639338224000000,0
FileNameCache.totalMisses,1789639278082000000,1789639338224000000,0
FileNameCache.queries,1789639278082000000,1789639338224000000,0
VFS.contentStorage.recordsReadSize,1789639278082000000,1789639338224000000,0
VFS.fileByIdCache.misses,1789639278082000000,1789639338224000000,0
VFS.contentStorage.recordsDecompressionTimeUs,1789639278082000000,1789639338224000000,0
VFS.contentStorage.recordsStored,1789639278082000000,1789639338224000000,0
VFS.contentStorage.recordsDeduplicated,1789639278082000000,1789639338224000000,0
VFS.rootsCount,1789639278082000000,1789639338224000000,1.0
VFS.cache.filesCreated,1789639278082000000,1789639338224000000,9
VFS.contentStorage.recordsRead,1789639278082000000,1789639338224000000,0
VFS.folderCaseSensitivityReads,1789639278082000000,1789639338224000000,8
VFS.cache.directoriesCreated,1789639278082000000,1789639338224000000,11
VFS.contentStorage.recordsStoredCompressed,1789639278082000000,1789639338224000000,0
NonBlockingReadAction.finalizedExecutionsCount,1789639278082000000,1789639338224000000,625
NonBlockingReadAction.finalizedExecutionTimeUs,1789639278082000000,1789639338224000000,5799
NonBlockingReadAction.failedExecutionTimeUs,1789639278082000000,1789639338224000000,0
ReadAction.executionsCount,1789639278082000000,1789639338224000000,705
WriteAction.executionsCount,1789639278082000000,1789639338224000000,1
