# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
Indexing.writesQueuedAvg,1789641250815000000,1789641262589000000,0.0
Indexing.writer_0.totalTimeSpentWritingMs,1789641250815000000,1789641262589000000,0
Indexing.cache.totalCacheAccesses,1789641250815000000,1789641262589000000,0
Indexing.writesQueuedMax,1789641250815000000,1789641262589000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1789641250815000000,1789641262589000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1789641250815000000,1789641262589000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1789641250815000000,1789641262589000000,0
Indexing.cache.totalCacheEvicted,1789641250815000000,1789641262589000000,0
Indexing.totalTimeIndexersSleptMs,1789641250815000000,1789641262589000000,0
Indexing.writesQueuedMin,1789641250815000000,1789641262589000000,0
NonBlockingReadAction.failedExecutionsCount,1789641250815000000,1789641262589000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1789641250815000000,1789641262589000000,5702
NonBlockingReadAction.finalizedExecutionsCount,1789641250815000000,1789641262589000000,628
NonBlockingReadAction.failedExecutionTimeUs,1789641250815000000,1789641262589000000,0
FilePageCache.maxRegisteredFiles,1789641250815000000,1789641262589000000,431
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1789641250815000000,1789641262589000000,41959424
StorageLockContext.competingThreads.avg,1789641250815000000,1789641262589000000,0.0
StorageLockContext.competingThreads.90P,1789641250815000000,1789641262589000000,0
FilePageCache.totalPageDisposalsUs,1789641250815000000,1789641262589000000,704
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1789641250815000000,1789641262589000000,41959424
FilePageCache.uncachedFileAccess,1789641250815000000,1789641262589000000,73
FilePageCache.totalPageLoadsUs,1789641250815000000,1789641262589000000,77582
FilePageCache.pageLoads,1789641250815000000,1789641262589000000,161
DirectByteBufferAllocator.hits,1789641250815000000,1789641262589000000,4
DirectByteBufferAllocator.disposed,1789641250815000000,1789641262589000000,115
FilePageCache.disposedBuffers,1789641250815000000,1789641262589000000,161
FileChannelInterruptsRetryer.totalRetriedAttempts,1789641250815000000,1789641262589000000,0
DirectByteBufferAllocator.misses,1789641250815000000,1789641262589000000,157
FilePageCache.pageLoadsAboveSizeThreshold,1789641250815000000,1789641262589000000,0
DirectByteBufferAllocator.reclaimed,1789641250815000000,1789641262589000000,46
FilePageCache.maxCacheSizeInBytes,1789641250815000000,1789641262589000000,162545664
FilePageCache.pageFastCacheHits,1789641250815000000,1789641262589000000,3195
StorageLockContext.competingThreads.max,1789641250815000000,1789641262589000000,0
FilePageCache.capacityInBytes,1789641250815000000,1789641262589000000,629145600
FilePageCache.pageHits,1789641250815000000,1789641262589000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1789641250815000000,1789641262589000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1789641250815000000,1789641262589000000,0
jps.load.initial.state.ms,1789641250815000000,1789641262589000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1789641250815000000,1789641262589000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1789641250815000000,1789641262589000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1789641250815000000,1789641262589000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1789641250815000000,1789641262589000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1789641250815000000,1789641262589000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1789641250815000000,1789641262589000000,0
workspaceModel.mutableEntityStorage.entities.ms,1789641250815000000,1789641262589000000,0
workspaceModel.save.cache.to.file.ms,1789641250815000000,1789641262589000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1789641250815000000,1789641262589000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1789641250815000000,1789641262589000000,0
workspaceModel.global.updates.count,1789641250815000000,1789641262589000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1789641250815000000,1789641262589000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1789641250815000000,1789641262589000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1789641250815000000,1789641262589000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1789641250815000000,1789641262589000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1789641250815000000,1789641262589000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1789641250815000000,1789641262589000000,0
workspaceModel.global.apply.state.to.project.ms,1789641250815000000,1789641262589000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1789641250815000000,1789641262589000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1789641250815000000,1789641262589000000,0
workspaceModel.load.cache.metadata.from.file.ms,1789641250815000000,1789641262589000000,0
workspaceModel.mutableEntityStorage.hasReferrers.ms,1789641250815000000,1789641262589000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1789641250815000000,1789641262589000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1789641250815000000,1789641262589000000,0
workspaceModel.sync.entities.ms,1789641250815000000,1789641262589000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1789641250815000000,1789641262589000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1789641250815000000,1789641262589000000,1
workspaceModel.do.save.caches.ms,1789641250815000000,1789641262589000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1789641250815000000,1789641262589000000,0
workspaceModel.load.cache.from.file.ms,1789641250815000000,1789641262589000000,0
jps.save.global.entities.ms,1789641250815000000,1789641262589000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1789641250815000000,1789641262589000000,0
workspaceModel.global.updates.ms,1789641250815000000,1789641262589000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1789641250815000000,1789641262589000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1789641250815000000,1789641262589000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1789641250815000000,1789641262589000000,0
workspaceModel.mutableEntityStorage.instances.count,1789641250815000000,1789641262589000000,1
writeAction.count,1789641250815000000,1789641262589000000,1
writeAction.wait.ms,1789641250815000000,1789641262589000000,0
DiskQueryRelay.taskWaitingTotalTimeUs,1789641250815000000,1789641262589000000,17633
DiskQueryRelay.taskExecutionTotalTimeUs,1789641250815000000,1789641262589000000,7414
DiskQueryRelay.tasksRequested,1789641250815000000,1789641262589000000,18
writeAction.max.wait.ms,1789641250815000000,1789641262589000000,0
DiskQueryRelay.tasksExecuted,1789641250815000000,1789641262589000000,18
writeAction.median.wait.ms,1789641250815000000,1789641262589000000,0
