# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.on.changed.ms,1789641250815000000,1789641262589000000,0
workspaceModel.replace.project.model.ms,1789641250815000000,1789641262589000000,0
workspaceModel.updates.ms,1789641250815000000,1789641262589000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1789641250815000000,1789641262589000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1789641250815000000,1789641262589000000,0
workspaceModel.updates.precise.ms,1789641250815000000,1789641262589000000,0
workspaceModel.pre.handlers.ms,1789641250815000000,1789641262589000000,0
workspaceModel.initializing.ms,1789641250815000000,1789641262589000000,0
workspaceModel.on.before.changed.ms,1789641250815000000,1789641262589000000,0
workspaceModel.init.bridges.ms,1789641250815000000,1789641262589000000,0
workspaceModel.check.recursive.update.ms,1789641250815000000,1789641262589000000,0
workspaceModel.loading.total.ms,1789641250815000000,1789641262589000000,20
workspaceModel.cachedValueWithParameters.clear.count,1789641250815000000,1789641262589000000,0
workspaceModel.update.unloaded.entities.ms,1789641250815000000,1789641262589000000,0
workspaceModel.collect.changes.ms,1789641250815000000,1789641262589000000,0
workspaceModel.loading.from.cache.ms,1789641250815000000,1789641262589000000,16
workspaceModel.updates.count,1789641250815000000,1789641262589000000,0
workspaceModel.cachedValue.clear.count,1789641250815000000,1789641262589000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1789641250815000000,1789641262589000000,2
workspaceModel.cachedValue.total.get.count,1789641250815000000,1789641262589000000,1
workspaceModel.cachedValue.from.cache.count,1789641250815000000,1789641262589000000,0
workspaceModel.cachedValue.calculated.count,1789641250815000000,1789641262589000000,1
workspaceModel.to.snapshot.ms,1789641250815000000,1789641262589000000,0
workspaceModel.full.replace.project.model.ms,1789641250815000000,1789641262589000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1789641250815000000,1789641262589000000,0
cacheStateStorage.get.counter,1789641250815000000,1789641262589000000,1
cacheStateStorage.get.duration,1789641250815000000,1789641262589000000,0
cacheStateStorage.set.duration,1789641250815000000,1789641262589000000,17
cacheStateStorage.set.counter,1789641250815000000,1789641262589000000,1
Indexing.cache.totalCacheMisses,1789641250815000000,1789641262589000000,0
